Measure,RowIndex,X,Y,Height,Width,Image
55,2,222,309,74,67,Wagner_WWV086A_003.png
56,2,290,309,74,69,Wagner_WWV086A_003.png
57,2,360,309,74,70,Wagner_WWV086A_003.png
58,2,431,309,74,64,Wagner_WWV086A_003.png
59,2,496,309,74,64,Wagner_WWV086A_003.png
60,3,47,432,70,103,Wagner_WWV086A_003.png
61,3,151,432,70,67,Wagner_WWV086A_003.png
62,3,219,432,70,66,Wagner_WWV086A_003.png
63,3,286,432,70,66,Wagner_WWV086A_003.png
64,3,352,432,70,66,Wagner_WWV086A_003.png
65,3,420,432,70,70,Wagner_WWV086A_003.png
66,3,491,432,70,70,Wagner_WWV086A_003.png
67,4,47,557,72,103,Wagner_WWV086A_003.png
68,4,152,557,72,67,Wagner_WWV086A_003.png
69,4,220,557,72,65,Wagner_WWV086A_003.png
70,4,286,557,72,68,Wagner_WWV086A_003.png
71,4,355,557,72,64,Wagner_WWV086A_003.png
72,4,420,557,72,71,Wagner_WWV086A_003.png
73,4,492,557,72,69,Wagner_WWV086A_003.png
74,5,47,675,69,104,Wagner_WWV086A_003.png
75,5,153,675,69,66,Wagner_WWV086A_003.png
76,5,220,675,69,66,Wagner_WWV086A_003.png
77,5,287,675,69,67,Wagner_WWV086A_003.png
78,5,355,675,69,65,Wagner_WWV086A_003.png
79,5,421,675,69,63,Wagner_WWV086A_003.png
80,5,485,675,69,76,Wagner_WWV086A_003.png
81,0,50,100,60,147,Wagner_WWV086A_004.png
82,0,198,100,60,112,Wagner_WWV086A_004.png
83,0,311,100,60,115,Wagner_WWV086A_004.png
84,0,427,100,60,122,Wagner_WWV086A_004.png
85,1,51,207,62,147,Wagner_WWV086A_004.png
86,1,199,207,62,113,Wagner_WWV086A_004.png
87,1,313,207,62,114,Wagner_WWV086A_004.png
88,1,427,207,62,122,Wagner_WWV086A_004.png
89,2,53,321,57,147,Wagner_WWV086A_004.png
90,2,201,321,57,112,Wagner_WWV086A_004.png
91,2,314,321,57,115,Wagner_WWV086A_004.png
92,2,430,321,57,122,Wagner_WWV086A_004.png
93,3,54,433,63,147,Wagner_WWV086A_004.png
94,3,202,433,63,113,Wagner_WWV086A_004.png
95,3,316,433,63,115,Wagner_WWV086A_004.png
96,3,432,433,63,122,Wagner_WWV086A_004.png
97,4,55,543,70,147,Wagner_WWV086A_004.png
98,4,203,543,70,113,Wagner_WWV086A_004.png
99,4,317,543,70,115,Wagner_WWV086A_004.png
100,4,433,543,70,122,Wagner_WWV086A_004.png
101,5,55,664,66,148,Wagner_WWV086A_004.png
102,5,204,664,66,113,Wagner_WWV086A_004.png
103,5,318,664,66,116,Wagner_WWV086A_004.png
104,5,435,664,66,120,Wagner_WWV086A_004.png
105,0,34,71,71,151,Wagner_WWV086A_005.png
106,0,186,71,71,119,Wagner_WWV086A_005.png
107,0,306,71,71,120,Wagner_WWV086A_005.png
108,0,427,71,71,125,Wagner_WWV086A_005.png
109,1,34,194,69,151,Wagner_WWV086A_005.png
110,1,186,194,69,119,Wagner_WWV086A_005.png
111,1,306,194,69,120,Wagner_WWV086A_005.png
112,1,427,194,69,126,Wagner_WWV086A_005.png
113,2,34,320,70,151,Wagner_WWV086A_005.png
114,2,186,320,70,119,Wagner_WWV086A_005.png
115,2,306,320,70,120,Wagner_WWV086A_005.png
116,2,427,320,70,126,Wagner_WWV086A_005.png
117,3,33,442,70,152,Wagner_WWV086A_005.png
118,3,186,442,70,119,Wagner_WWV086A_005.png
119,3,306,442,70,120,Wagner_WWV086A_005.png
120,3,427,442,70,125,Wagner_WWV086A_005.png
121,4,33,561,71,151,Wagner_WWV086A_005.png
122,4,185,561,71,120,Wagner_WWV086A_005.png
123,4,306,561,71,120,Wagner_WWV086A_005.png
124,4,427,561,71,125,Wagner_WWV086A_005.png
125,5,32,681,70,152,Wagner_WWV086A_005.png
126,5,185,681,70,120,Wagner_WWV086A_005.png
127,5,306,681,70,120,Wagner_WWV086A_005.png
128,5,427,681,70,125,Wagner_WWV086A_005.png
129,0,42,107,60,153,Wagner_WWV086A_006.png
130,0,196,107,60,120,Wagner_WWV086A_006.png
131,0,317,107,60,120,Wagner_WWV086A_006.png
132,0,438,107,60,112,Wagner_WWV086A_006.png
133,1,45,220,65,151,Wagner_WWV086A_006.png
134,1,197,220,65,119,Wagner_WWV086A_006.png
135,1,318,220,65,119,Wagner_WWV086A_006.png
136,1,441,221,65,113,Wagner_WWV086A_006.png
137,2,45,325,68,150,Wagner_WWV086A_006.png
138,2,196,325,68,118,Wagner_WWV086A_006.png
139,2,315,325,68,120,Wagner_WWV086A_006.png
140,2,436,325,68,118,Wagner_WWV086A_006.png
141,3,46,431,66,151,Wagner_WWV086A_006.png
142,3,198,431,66,118,Wagner_WWV086A_006.png
143,3,317,431,66,120,Wagner_WWV086A_006.png
144,3,438,431,66,117,Wagner_WWV086A_006.png
145,4,47,547,72,151,Wagner_WWV086A_006.png
146,4,199,547,72,118,Wagner_WWV086A_006.png
147,4,318,547,72,120,Wagner_WWV086A_006.png
148,4,439,547,72,118,Wagner_WWV086A_006.png
149,5,47,681,71,152,Wagner_WWV086A_006.png
150,5,200,681,71,118,Wagner_WWV086A_006.png
151,5,319,681,71,120,Wagner_WWV086A_006.png
152,5,440,681,71,118,Wagner_WWV086A_006.png
153,0,47,97,62,156,Wagner_WWV086A_007.png
154,0,205,97,62,119,Wagner_WWV086A_007.png
155,0,325,97,62,120,Wagner_WWV086A_007.png
156,0,446,97,62,116,Wagner_WWV086A_007.png
157,1,47,209,71,156,Wagner_WWV086A_007.png
158,1,204,209,71,119,Wagner_WWV086A_007.png
159,1,324,209,71,120,Wagner_WWV086A_007.png
160,1,445,209,71,117,Wagner_WWV086A_007.png
161,2,46,320,73,151,Wagner_WWV086A_007.png
162,2,198,320,73,120,Wagner_WWV086A_007.png
163,2,319,320,73,120,Wagner_WWV086A_007.png
164,2,441,320,73,120,Wagner_WWV086A_007.png
165,3,44,454,68,152,Wagner_WWV086A_007.png
166,3,197,454,68,120,Wagner_WWV086A_007.png
167,3,319,454,68,112,Wagner_WWV086A_007.png
168,3,432,454,68,128,Wagner_WWV086A_007.png
169,4,43,586,73,160,Wagner_WWV086A_007.png
170,4,204,586,73,119,Wagner_WWV086A_007.png
171,4,324,586,73,115,Wagner_WWV086A_007.png
172,4,440,586,73,118,Wagner_WWV086A_007.png
173,5,37,698,65,164,Wagner_WWV086A_007.png
174,5,202,698,65,120,Wagner_WWV086A_007.png
175,5,323,698,65,116,Wagner_WWV086A_007.png
176,5,440,698,65,117,Wagner_WWV086A_007.png
177,0,49,80,63,150,Wagner_WWV086A_008.png
178,0,200,80,63,116,Wagner_WWV086A_008.png
179,0,317,80,63,117,Wagner_WWV086A_008.png
180,0,435,80,63,124,Wagner_WWV086A_008.png
181,1,50,195,58,158,Wagner_WWV086A_008.png
182,1,209,195,58,117,Wagner_WWV086A_008.png
183,1,327,195,58,114,Wagner_WWV086A_008.png
184,1,442,195,58,118,Wagner_WWV086A_008.png
185,2,50,317,53,152,Wagner_WWV086A_008.png
186,2,203,317,53,116,Wagner_WWV086A_008.png
187,2,320,317,53,118,Wagner_WWV086A_008.png
188,2,439,317,53,122,Wagner_WWV086A_008.png
189,3,51,436,66,149,Wagner_WWV086A_008.png
190,3,201,436,66,111,Wagner_WWV086A_008.png
191,3,313,436,66,132,Wagner_WWV086A_008.png
192,3,446,436,66,116,Wagner_WWV086A_008.png
193,4,52,570,69,138,Wagner_WWV086A_008.png
194,4,191,570,69,129,Wagner_WWV086A_008.png
195,4,321,570,69,123,Wagner_WWV086A_008.png
196,4,445,570,69,118,Wagner_WWV086A_008.png
197,5,52,694,63,156,Wagner_WWV086A_008.png
198,5,209,694,63,123,Wagner_WWV086A_008.png
199,5,333,694,63,109,Wagner_WWV086A_008.png
200,5,443,694,63,120,Wagner_WWV086A_008.png
201,0,47,91,67,187,Wagner_WWV086A_009.png
202,0,236,91,67,113,Wagner_WWV086A_009.png
203,0,350,91,67,104,Wagner_WWV086A_009.png
204,0,455,91,67,109,Wagner_WWV086A_009.png
205,1,49,213,71,158,Wagner_WWV086A_009.png
206,1,208,213,71,113,Wagner_WWV086A_009.png
207,1,322,213,71,122,Wagner_WWV086A_009.png
208,1,445,213,71,120,Wagner_WWV086A_009.png
209,2,49,340,66,163,Wagner_WWV086A_009.png
210,2,213,340,66,100,Wagner_WWV086A_009.png
211,2,315,340,66,122,Wagner_WWV086A_009.png
212,2,438,340,66,128,Wagner_WWV086A_009.png
213,3,50,458,68,159,Wagner_WWV086A_009.png
214,3,211,458,67,102,Wagner_WWV086A_009.png
215,3,313,457,67,130,Wagner_WWV086A_009.png
216,3,444,457,67,123,Wagner_WWV086A_009.png
217,4,51,575,67,171,Wagner_WWV086A_009.png
218,4,223,575,67,123,Wagner_WWV086A_009.png
219,4,347,575,67,116,Wagner_WWV086A_009.png
220,4,464,575,67,103,Wagner_WWV086A_009.png
221,5,52,694,63,163,Wagner_WWV086A_009.png
222,5,216,694,63,118,Wagner_WWV086A_009.png
223,5,335,694,63,120,Wagner_WWV086A_009.png
224,5,457,694,63,112,Wagner_WWV086A_009.png
225,0,35,100,68,138,Wagner_WWV086A_010.png
226,0,174,100,68,105,Wagner_WWV086A_010.png
227,0,280,100,68,136,Wagner_WWV086A_010.png
228,0,417,100,68,139,Wagner_WWV086A_010.png
229,1,35,224,68,165,Wagner_WWV086A_010.png
230,1,201,224,68,129,Wagner_WWV086A_010.png
231,1,331,224,68,136,Wagner_WWV086A_010.png
232,1,468,224,68,88,Wagner_WWV086A_010.png
233,2,36,339,61,157,Wagner_WWV086A_010.png
234,2,194,339,61,118,Wagner_WWV086A_010.png
235,2,313,339,61,103,Wagner_WWV086A_010.png
236,2,417,339,61,140,Wagner_WWV086A_010.png
237,3,36,458,67,144,Wagner_WWV086A_010.png
238,3,181,458,67,129,Wagner_WWV086A_010.png
239,3,311,458,67,105,Wagner_WWV086A_010.png
240,3,417,458,67,140,Wagner_WWV086A_010.png
241,4,37,579,65,204,Wagner_WWV086A_010.png
242,4,241,579,65,171,Wagner_WWV086A_010.png
243,4,414,579,65,143,Wagner_WWV086A_010.png
244,5,37,702,65,160,Wagner_WWV086A_010.png
245,5,198,702,65,67,Wagner_WWV086A_010.png
246,5,266,702,65,106,Wagner_WWV086A_010.png
247,5,374,702,65,90,Wagner_WWV086A_010.png
248,5,465,702,65,73,Wagner_WWV086A_010.png
249,0,45,97,69,174,Wagner_WWV086A_011.png
250,0,220,97,69,124,Wagner_WWV086A_011.png
251,0,345,97,69,108,Wagner_WWV086A_011.png
252,0,454,97,69,105,Wagner_WWV086A_011.png
253,1,45,217,70,144,Wagner_WWV086A_011.png
254,1,190,217,70,112,Wagner_WWV086A_011.png
255,1,302,217,70,122,Wagner_WWV086A_011.png
256,1,426,217,70,134,Wagner_WWV086A_011.png
257,2,40,345,54,158,Wagner_WWV086A_011.png
258,2,199,345,54,120,Wagner_WWV086A_011.png
259,2,321,345,54,119,Wagner_WWV086A_011.png
260,2,441,345,54,119,Wagner_WWV086A_011.png
261,3,44,465,62,119,Wagner_WWV086A_011.png
262,3,163,465,62,83,Wagner_WWV086A_011.png
263,3,248,465,62,127,Wagner_WWV086A_011.png
264,3,376,465,62,90,Wagner_WWV086A_011.png
265,3,467,465,62,93,Wagner_WWV086A_011.png
266,4,45,584,64,103,Wagner_WWV086A_011.png
267,4,149,584,64,70,Wagner_WWV086A_011.png
268,4,220,584,64,67,Wagner_WWV086A_011.png
269,4,288,584,64,66,Wagner_WWV086A_011.png
270,4,355,584,64,115,Wagner_WWV086A_011.png
271,4,471,584,64,89,Wagner_WWV086A_011.png
272,5,46,692,66,128,Wagner_WWV086A_011.png
273,5,175,692,66,105,Wagner_WWV086A_011.png
274,5,281,692,66,98,Wagner_WWV086A_011.png
275,5,380,692,66,100,Wagner_WWV086A_011.png
276,5,481,692,66,79,Wagner_WWV086A_011.png
277,0,42,103,64,145,Wagner_WWV086A_012.png
278,0,188,103,64,81,Wagner_WWV086A_012.png
279,0,270,103,64,97,Wagner_WWV086A_012.png
280,0,368,103,64,87,Wagner_WWV086A_012.png
281,0,456,103,64,94,Wagner_WWV086A_012.png
282,1,42,219,64,126,Wagner_WWV086A_012.png
283,1,169,219,64,86,Wagner_WWV086A_012.png
284,1,256,219,64,156,Wagner_WWV086A_012.png
285,1,413,219,64,138,Wagner_WWV086A_012.png
286,2,40,338,66,151,Wagner_WWV086A_012.png
287,2,193,338,66,118,Wagner_WWV086A_012.png
288,2,312,338,66,117,Wagner_WWV086A_012.png
289,2,430,338,66,120,Wagner_WWV086A_012.png
290,3,40,455,65,148,Wagner_WWV086A_012.png
291,3,190,455,65,117,Wagner_WWV086A_012.png
292,3,308,455,65,120,Wagner_WWV086A_012.png
293,3,429,455,65,120,Wagner_WWV086A_012.png
294,4,40,571,69,150,Wagner_WWV086A_012.png
295,4,191,571,69,152,Wagner_WWV086A_012.png
296,4,345,571,69,105,Wagner_WWV086A_012.png
297,4,451,571,69,99,Wagner_WWV086A_012.png
298,5,40,690,70,123,Wagner_WWV086A_012.png
299,5,163,690,70,101,Wagner_WWV086A_012.png
300,5,266,690,70,95,Wagner_WWV086A_012.png
301,5,363,690,70,102,Wagner_WWV086A_012.png
302,5,466,690,70,83,Wagner_WWV086A_012.png
303,0,46,91,64,105,Wagner_WWV086A_013.png
304,0,152,91,64,62,Wagner_WWV086A_013.png
305,0,215,91,64,85,Wagner_WWV086A_013.png
306,0,301,91,64,83,Wagner_WWV086A_013.png
307,0,385,91,64,89,Wagner_WWV086A_013.png
308,0,475,91,64,83,Wagner_WWV086A_013.png
309,1,47,203,69,158,Wagner_WWV086A_013.png
310,1,206,203,69,98,Wagner_WWV086A_013.png
311,1,305,203,69,100,Wagner_WWV086A_013.png
312,1,406,203,69,153,Wagner_WWV086A_013.png
313,2,47,312,67,116,Wagner_WWV086A_013.png
314,2,165,312,67,133,Wagner_WWV086A_013.png
315,2,299,312,67,134,Wagner_WWV086A_013.png
316,2,433,312,67,126,Wagner_WWV086A_013.png
317,3,49,431,70,147,Wagner_WWV086A_013.png
318,3,197,431,70,114,Wagner_WWV086A_013.png
319,3,312,431,70,123,Wagner_WWV086A_013.png
320,3,436,431,70,125,Wagner_WWV086A_013.png
321,4,51,567,64,118,Wagner_WWV086A_013.png
322,4,170,567,64,92,Wagner_WWV086A_013.png
323,4,263,567,64,91,Wagner_WWV086A_013.png
324,4,355,567,64,106,Wagner_WWV086A_013.png
325,4,463,567,64,99,Wagner_WWV086A_013.png
326,5,53,688,66,95,Wagner_WWV086A_013.png
327,5,150,688,66,67,Wagner_WWV086A_013.png
328,5,218,688,66,78,Wagner_WWV086A_013.png
329,5,296,688,66,123,Wagner_WWV086A_013.png
330,5,421,688,66,124,Wagner_WWV086A_013.png
331,0,36,88,68,156,Wagner_WWV086A_014.png
332,0,193,88,68,86,Wagner_WWV086A_014.png
333,0,280,88,68,86,Wagner_WWV086A_014.png
334,0,367,88,68,87,Wagner_WWV086A_014.png
335,0,455,88,68,90,Wagner_WWV086A_014.png
336,1,36,201,77,109,Wagner_WWV086A_014.png
337,1,146,201,77,78,Wagner_WWV086A_014.png
338,1,225,201,77,74,Wagner_WWV086A_014.png
339,1,300,201,77,83,Wagner_WWV086A_014.png
340,1,383,201,77,81,Wagner_WWV086A_014.png
341,1,466,201,77,79,Wagner_WWV086A_014.png
342,2,36,321,77,105,Wagner_WWV086A_014.png
343,2,142,321,77,74,Wagner_WWV086A_014.png
344,2,216,321,77,80,Wagner_WWV086A_014.png
345,2,298,321,77,80,Wagner_WWV086A_014.png
346,2,379,321,77,86,Wagner_WWV086A_014.png
347,2,466,321,77,80,Wagner_WWV086A_014.png
348,3,36,434,74,122,Wagner_WWV086A_014.png
349,3,159,434,74,98,Wagner_WWV086A_014.png
350,3,258,434,74,106,Wagner_WWV086A_014.png
351,3,366,434,74,81,Wagner_WWV086A_014.png
352,3,448,434,74,98,Wagner_WWV086A_014.png
353,4,36,557,72,110,Wagner_WWV086A_014.png
354,4,147,557,72,81,Wagner_WWV086A_014.png
355,4,229,557,72,93,Wagner_WWV086A_014.png
356,4,323,557,72,115,Wagner_WWV086A_014.png
357,4,439,557,72,106,Wagner_WWV086A_014.png
358,5,35,676,73,152,Wagner_WWV086A_014.png
359,5,188,676,73,118,Wagner_WWV086A_014.png
360,5,307,676,73,122,Wagner_WWV086A_014.png
361,5,430,676,73,116,Wagner_WWV086A_014.png
362,0,56,104,70,155,Wagner_WWV086A_015.png
363,0,212,104,70,128,Wagner_WWV086A_015.png
364,0,341,104,70,106,Wagner_WWV086A_015.png
365,0,449,104,70,109,Wagner_WWV086A_015.png
366,1,55,224,73,159,Wagner_WWV086A_015.png
367,1,215,224,73,120,Wagner_WWV086A_015.png
368,1,337,224,73,111,Wagner_WWV086A_015.png
369,1,449,224,73,109,Wagner_WWV086A_015.png
370,2,54,344,73,152,Wagner_WWV086A_015.png
371,2,207,344,73,115,Wagner_WWV086A_015.png
372,2,323,344,73,116,Wagner_WWV086A_015.png
373,2,440,344,73,118,Wagner_WWV086A_015.png
374,3,53,467,71,159,Wagner_WWV086A_015.png
375,3,213,467,71,92,Wagner_WWV086A_015.png
376,3,306,467,71,83,Wagner_WWV086A_015.png
377,3,390,467,71,85,Wagner_WWV086A_015.png
378,3,476,467,71,81,Wagner_WWV086A_015.png
379,4,52,584,70,112,Wagner_WWV086A_015.png
380,4,165,584,70,73,Wagner_WWV086A_015.png
381,4,238,584,70,75,Wagner_WWV086A_015.png
382,4,315,584,70,74,Wagner_WWV086A_015.png
383,4,390,584,70,65,Wagner_WWV086A_015.png
384,4,456,584,70,101,Wagner_WWV086A_015.png
385,5,51,700,65,99,Wagner_WWV086A_015.png
386,5,151,700,65,110,Wagner_WWV086A_015.png
387,5,262,700,65,133,Wagner_WWV086A_015.png
388,5,396,700,65,79,Wagner_WWV086A_015.png
389,5,476,700,65,80,Wagner_WWV086A_015.png
390,0,39,77,67,137,Wagner_WWV086A_016.png
391,0,177,77,67,109,Wagner_WWV086A_016.png
392,0,287,77,67,132,Wagner_WWV086A_016.png
393,0,420,77,67,132,Wagner_WWV086A_016.png
394,1,39,190,68,155,Wagner_WWV086A_016.png
395,1,195,190,68,124,Wagner_WWV086A_016.png
396,1,320,190,68,114,Wagner_WWV086A_016.png
397,1,435,190,68,105,Wagner_WWV086A_016.png
398,2,39,309,65,175,Wagner_WWV086A_016.png
399,2,215,309,65,99,Wagner_WWV086A_016.png
400,2,315,309,65,127,Wagner_WWV086A_016.png
401,2,443,309,65,109,Wagner_WWV086A_016.png
402,3,36,427,67,133,Wagner_WWV086A_016.png
403,3,170,427,67,113,Wagner_WWV086A_016.png
404,3,284,427,67,71,Wagner_WWV086A_016.png
405,3,356,427,67,73,Wagner_WWV086A_016.png
406,3,430,427,67,123,Wagner_WWV086A_016.png
407,4,39,548,64,163,Wagner_WWV086A_016.png
408,4,204,548,64,104,Wagner_WWV086A_016.png
409,4,309,548,64,131,Wagner_WWV086A_016.png
410,4,441,548,64,51,Wagner_WWV086A_016.png
411,4,493,548,64,60,Wagner_WWV086A_016.png
412,5,39,671,67,129,Wagner_WWV086A_016.png
413,5,169,671,67,174,Wagner_WWV086A_016.png
414,5,344,671,67,91,Wagner_WWV086A_016.png
415,5,436,671,67,117,Wagner_WWV086A_016.png
416,0,62,97,65,122,Wagner_WWV086A_017.png
417,0,186,97,65,81,Wagner_WWV086A_017.png
418,0,269,97,65,71,Wagner_WWV086A_017.png
419,0,341,97,65,116,Wagner_WWV086A_017.png
420,0,458,97,65,97,Wagner_WWV086A_017.png
421,1,62,223,68,148,Wagner_WWV086A_017.png
422,1,211,223,68,111,Wagner_WWV086A_017.png
423,1,323,223,68,112,Wagner_WWV086A_017.png
424,1,436,223,68,119,Wagner_WWV086A_017.png
425,2,62,337,70,149,Wagner_WWV086A_017.png
426,2,212,337,70,115,Wagner_WWV086A_017.png
427,2,327,337,70,112,Wagner_WWV086A_017.png
428,2,441,337,70,114,Wagner_WWV086A_017.png
429,3,61,450,69,137,Wagner_WWV086A_017.png
430,3,199,450,69,98,Wagner_WWV086A_017.png
431,3,298,450,69,83,Wagner_WWV086A_017.png
432,3,382,450,69,83,Wagner_WWV086A_017.png
433,3,466,450,69,89,Wagner_WWV086A_017.png
434,4,61,563,65,138,Wagner_WWV086A_017.png
435,4,200,563,65,86,Wagner_WWV086A_017.png
436,4,287,563,65,84,Wagner_WWV086A_017.png
437,4,372,563,65,88,Wagner_WWV086A_017.png
438,4,461,563,65,93,Wagner_WWV086A_017.png
439,5,62,677,64,115,Wagner_WWV086A_017.png
440,5,178,677,64,91,Wagner_WWV086A_017.png
441,5,270,677,64,89,Wagner_WWV086A_017.png
442,5,360,677,64,92,Wagner_WWV086A_017.png
443,5,452,677,64,101,Wagner_WWV086A_017.png
444,0,33,98,66,152,Wagner_WWV086A_018.png
445,0,186,98,66,114,Wagner_WWV086A_018.png
446,0,301,98,66,126,Wagner_WWV086A_018.png
447,0,428,98,66,120,Wagner_WWV086A_018.png
448,1,32,215,66,156,Wagner_WWV086A_018.png
449,1,189,215,66,128,Wagner_WWV086A_018.png
450,1,318,215,66,128,Wagner_WWV086A_018.png
451,1,446,215,66,101,Wagner_WWV086A_018.png
452,2,31,329,66,154,Wagner_WWV086A_018.png
453,2,186,329,66,113,Wagner_WWV086A_018.png
454,2,299,329,66,122,Wagner_WWV086A_018.png
455,2,423,329,66,124,Wagner_WWV086A_018.png
456,3,29,438,66,156,Wagner_WWV086A_018.png
457,3,186,438,66,117,Wagner_WWV086A_018.png
458,3,305,438,66,117,Wagner_WWV086A_018.png
459,3,423,438,66,123,Wagner_WWV086A_018.png
460,4,29,549,68,153,Wagner_WWV086A_018.png
461,4,184,549,68,109,Wagner_WWV086A_018.png
462,4,294,549,68,125,Wagner_WWV086A_018.png
463,4,419,549,68,125,Wagner_WWV086A_018.png
464,5,27,682,68,152,Wagner_WWV086A_018.png
465,5,181,682,68,129,Wagner_WWV086A_018.png
466,5,311,682,68,118,Wagner_WWV086A_018.png
467,5,430,682,68,113,Wagner_WWV086A_018.png
468,0,49,86,74,144,Wagner_WWV086A_019.png
469,0,194,86,74,106,Wagner_WWV086A_019.png
470,0,302,86,74,110,Wagner_WWV086A_019.png
471,0,413,86,74,73,Wagner_WWV086A_019.png
472,0,487,86,74,75,Wagner_WWV086A_019.png
473,1,50,214,77,151,Wagner_WWV086A_019.png
474,1,202,214,77,118,Wagner_WWV086A_019.png
475,1,321,214,77,117,Wagner_WWV086A_019.png
476,1,439,214,77,124,Wagner_WWV086A_019.png
477,2,51,331,66,173,Wagner_WWV086A_019.png
478,2,225,331,66,104,Wagner_WWV086A_019.png
479,2,330,331,66,124,Wagner_WWV086A_019.png
480,2,455,331,66,109,Wagner_WWV086A_019.png
481,3,52,446,57,156,Wagner_WWV086A_019.png
482,3,209,446,57,120,Wagner_WWV086A_019.png
483,3,330,446,57,120,Wagner_WWV086A_019.png
484,3,452,446,57,113,Wagner_WWV086A_019.png
485,4,53,564,60,142,Wagner_WWV086A_019.png
486,4,196,564,60,116,Wagner_WWV086A_019.png
487,4,313,564,60,123,Wagner_WWV086A_019.png
488,4,437,564,60,129,Wagner_WWV086A_019.png
489,5,54,684,66,148,Wagner_WWV086A_019.png
490,5,203,684,66,114,Wagner_WWV086A_019.png
491,5,318,684,66,141,Wagner_WWV086A_019.png
492,5,460,684,66,106,Wagner_WWV086A_019.png
493,0,28,83,65,155,Wagner_WWV086A_020.png
494,0,184,83,65,117,Wagner_WWV086A_020.png
495,0,302,83,65,103,Wagner_WWV086A_020.png
496,0,406,83,65,143,Wagner_WWV086A_020.png
497,1,30,193,64,130,Wagner_WWV086A_020.png
498,1,161,193,64,122,Wagner_WWV086A_020.png
499,1,284,193,64,120,Wagner_WWV086A_020.png
500,1,406,193,64,132,Wagner_WWV086A_020.png
501,2,30,317,71,216,Wagner_WWV086A_020.png
502,2,248,317,71,98,Wagner_WWV086A_020.png
503,2,347,317,71,106,Wagner_WWV086A_020.png
504,2,455,317,71,98,Wagner_WWV086A_020.png
505,3,32,458,64,139,Wagner_WWV086A_020.png
506,3,172,458,64,99,Wagner_WWV086A_020.png
507,3,272,458,64,91,Wagner_WWV086A_020.png
508,3,364,458,64,93,Wagner_WWV086A_020.png
509,3,458,458,64,95,Wagner_WWV086A_020.png
510,4,33,584,64,117,Wagner_WWV086A_020.png
511,4,151,584,64,88,Wagner_WWV086A_020.png
512,4,240,584,64,98,Wagner_WWV086A_020.png
513,4,339,584,64,90,Wagner_WWV086A_020.png
514,4,430,584,64,126,Wagner_WWV086A_020.png
515,5,36,699,64,138,Wagner_WWV086A_020.png
516,5,175,699,64,119,Wagner_WWV086A_020.png
